id,formula,avg_Z,avg_chi,avg_mass,std_atomic_radius,n_elements,contains_Cu,contains_W,frac_W,frac_Cu,frac_Fe,frac_Cr,frac_Mo,frac_Ta,frac_Nb,frac_V,frac_Ti,frac_Al,frac_Si,frac_Mn,activation_proxy,thermal_proxy,ductility_proxy
11,Si0.102-Mo0.654-Cu0.245,35.96503496503496,2.0698701298701296,81.09715384615384,11.897712198383164,3,1,0,0.0,0.2447552447552447,0.0,0.0,0.6533466533466533,0.0,0.0,0.0,0.0,0.0,0.1018981018981018,0.0,1.4895104895104891,0.6019980019980019,0.6729779709096089
12,Mo0.683-Si0.238-Fe0.079,34.072,2.07205,76.623124,11.440668201153676,3,0,0,0.0,0.0,0.079,0.0,0.683,0.0,0.0,0.0,0.0,0.0,0.238,0.0,1.0790000000000002,0.4445,0.62086849546801
13,Ta0.065-Al0.935,16.900000000000002,1.60285,36.989350791,14.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.935,0.0,0.0,1.0325,0.43375,0.9364035087719298
14,Al0.182-Cr0.64-V0.048-Cu0.129,22.59359359359359,1.6804404404404405,48.87964967487488,5.11737237261468,4,1,0,0.0,0.1291291291291291,0.0,0.6406406406406406,0.0,0.0,0.0,0.048048048048048,0.0,0.1821821821821821,0.0,0.0,1.9277277277277276,0.4129129129129129,0.7743858085878885
15,Ta0.427-Ti0.213-Fe0.049-Cu0.311,46.15,1.64909,109.95962676,7.280109889280518,4,1,0,0.0,0.311,0.049,0.0,0.0,0.427,0.0,0.0,0.213,0.0,0.0,0.0,1.9058,0.49055000000000004,0.7622102557910457
16,Mo0.647-Al0.353,31.763,1.96585,71.5976631258,10.5,2,0,0,0.0,0.0,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.353,0.0,0.0,1.0,0.48235,0.7612669683257918
17,Al0.282-V0.361-Ta0.263-Fe0.094,33.612,1.60897,78.8373978252,10.425329730996522,4,0,0,0.0,0.0,0.094,0.0,0.0,0.263,0.0,0.361,0.0,0.282,0.0,0.0,1.4421,0.2893,0.7711545911381317
18,Si0.29-Mn0.192-Al0.256-Ti0.261,17.94794794794795,1.6643643643643644,38.131592113713715,9.40744386111339,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2612612612612612,0.2562562562562562,0.2902902902902903,0.1921921921921922,1.1798798798798797,0.34189189189189184,0.7281924049958232
19,V0.048-Al0.952,13.48,1.6109600000000002,28.1316167472,3.5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.952,0.0,0.0,1.0288,0.438,1.0465700483091789
20,Nb0.263-W0.287-Mn0.237-Mo0.213,46.892,1.92555,110.651994605,6.869315832017043,4,0,1,0.287,0.0,0.0,0.0,0.213,0.0,0.263,0.0,0.0,0.0,0.0,0.237,1.2422,0.40370000000000006,0.6527598633610843
21,W0.186-Mn0.814,34.114,1.70066,78.91380863,4.0,2,0,1,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814,1.6511999999999998,0.3151,0.6551923076923076
22,Cu0.553-Mn0.447,27.212000000000003,1.74355,59.69824411500001,2.5,2,1,0,0.0,0.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,2.4636000000000005,0.6647500000000001,0.8447804878048782
23,Al0.754-W0.198-Si0.048,25.126,1.77242,58.0925041044,10.077477638553985,3,0,1,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.754,0.048,0.0,1.0,0.47250000000000003,0.8831961095550147
24,Cu0.21-Ti0.048-Cr0.094-Mo0.648,36.618,2.02864,82.6990294,4.14578098794425,4,1,0,0.0,0.21,0.0,0.094,0.648,0.0,0.0,0.0,0.048,0.0,0.0,0.0,1.5188000000000001,0.5790000000000001,0.7418447417370033
25,Ta0.407-Si0.543-W0.049,40.97997997997999,1.7595995995996,98.00237603603604,14.613540144521982,3,0,1,0.049049049049049,0.0,0.0,0.0,0.0,0.4074074074074074,0.0,0.0,0.0,0.0,0.5435435435435436,0.0,1.2037037037037037,0.273973973973974,0.4760743320183754
26,Al0.477-Cu0.523,21.368,1.76167,46.1047519122,7.0,2,1,0,0.0,0.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.0,0.0,2.046,0.73765,0.9791588785046729
27,Al0.896-Mo0.104,16.016,1.6672,34.1532185856,10.5,2,0,0,0.0,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.896,0.0,0.0,1.0,0.4552,0.9578280542986427
28,Cu0.93-W0.07,32.150000000000006,1.9322,71.96658000000001,1.5,2,1,1,0.07,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.9720000000000001,0.9576354679802958
29,Si0.09-Nb0.91,38.57,1.6270000000000002,87.0725008,17.5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.09,0.0,1.1820000000000002,0.2545,0.657872340425532
30,Mo0.391-Nb0.334-Ta0.275,50.191,1.7914600000000005,118.30393792,3.299831645537222,3,0,0,0.0,0.0,0.0,0.0,0.391,0.275,0.334,0.0,0.0,0.0,0.0,0.0,1.2043000000000001,0.334,0.6833505812693127
31,Nb0.864-Fe0.136,38.96,1.63128,87.86603232,10.0,2,0,0,0.0,0.0,0.136,0.0,0.0,0.0,0.864,0.0,0.0,0.0,0.0,0.0,1.3088,0.2704,0.7767272727272727
32,Cr0.54-Ta0.46,46.54,1.5864,111.3139188,9.0,2,0,0,0.0,0.0,0.0,0.54,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.254,0.6
33,Si0.916-Cu0.084,15.26,1.9,31.064182,10.5,2,1,0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916,0.0,1.1680000000000001,0.3588,0.4904977375565611
34,Nb0.062-Si0.384-Mn0.272-Cr0.282,21.485999999999997,1.7185199999999998,46.151076,12.389511693363866,4,0,0,0.0,0.0,0.0,0.282,0.0,0.0,0.062,0.0,0.0,0.0,0.384,0.272,1.512,0.2833,0.5600166692753443
35,W0.078-Mn0.05-Cr0.873,27.94605394605395,1.7090509490509491,62.41660094905096,3.559026084010437,3,0,1,0.0779220779220779,0.0,0.0,0.8721278721278722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499500499500499,1.9120879120879122,0.32087912087912085,0.6684185998874215
36,Mn0.459-Ta0.541,50.968,1.5229500000000002,123.109365735,9.5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.541,0.0,0.0,0.0,0.0,0.0,0.459,1.6377000000000002,0.22295000000000004,0.58986301369863
37,Mn0.127-Cr0.16-Cu0.049-Al0.664,17.067999999999998,1.6245900000000002,36.3260033454,5.11737237261468,4,1,0,0.0,0.049,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.127,1.3596,0.42755000000000004,0.9325765835594546
38,W0.292-Ti0.708,37.184,1.77944,87.57111599999999,0.5,2,0,1,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708,0.0,0.0,0.0,1.0708,0.42299999999999993,0.8083582089552239
39,Al0.07-W0.594-V0.337,52.56443556443556,2.061788211788212,128.12882437762238,6.97614984548545,3,0,1,0.5934065934065934,0.0,0.0,0.0,0.0,0.0,0.0,0.3366633366633367,0.0,0.0699300699300699,0.0,0.0,1.2019980019980019,0.45484515484515486,0.6407638865808958
40,Ta0.048-Cu0.338-Cr0.613,28.046046046046044,1.7335135135135131,62.099755295295296,7.71722460186015,3,1,0,0.0,0.3383383383383384,0.0,0.6136136136136136,0.0,0.048048048048048,0.0,0.0,0.0,0.0,0.0,0.0,2.3143143143143146,0.532032032032032,0.7396186632559586
41,Ta0.509-W0.491,73.491,1.92226,182.36791092,5.5,2,0,1,0.491,0.0,0.0,0.0,0.0,0.509,0.0,0.0,0.0,0.0,0.0,0.0,1.2545000000000002,0.3964,0.5687203791469194
42,Mo0.375-Cu0.625,33.875,1.9975,75.69375,3.5,2,1,0,0.0,0.625,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.8125,0.857487922705314
43,V0.931-Fe0.069,23.207,1.6438,51.2798415,0.5,2,0,0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.931,0.0,0.0,0.0,0.0,1.6276000000000002,0.21380000000000005,0.7771641791044778
44,Mo0.049-Mn0.331-Si0.62,19.013,1.79689,40.298562895,11.469767022723502,3,0,0,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.62,0.331,1.2648000000000001,0.29325,0.5167320389954527
45,Nb0.049-Ta0.596-Ti0.268-Fe0.086,53.7027027027027,1.544044044044044,130.15853363363362,8.2915619758885,4,0,0,0.0,0.0,0.086086086086086,0.0,0.0,0.5965965965965966,0.049049049049049,0.0,0.2682682682682683,0.0,0.0,0.0,1.421021021021021,0.25990990990990986,0.6851336599126142
46,Ta0.316-V0.684,38.8,1.58892,92.02351608,10.5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.316,0.0,0.684,0.0,0.0,0.0,0.0,1.5684,0.2,0.6358371040723982
47,Al0.11-Nb0.304-Fe0.586,29.13,1.73588,63.936678766,11.775681155103795,3,0,0,0.0,0.0,0.586,0.0,0.0,0.0,0.304,0.0,0.0,0.11,0.0,0.0,1.6468,0.3599,0.9549483295197627
48,Al0.173-Cu0.049-Ta0.778,60.464000000000006,1.53863,148.55901081780002,11.430952132988164,3,1,0,0.0,0.049,0.0,0.0,0.0,0.778,0.0,0.0,0.0,0.173,0.0,0.0,1.487,0.28245,0.6336659487188975
49,Nb0.808-Si0.192,35.816,1.6576000000000002,80.46077104,17.5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.808,0.0,0.0,0.0,0.192,0.0,1.1616,0.2596,0.6318297872340426
50,W0.262-Cu0.115-V0.623,37.05200000000001,1.85231,87.2104245,4.189935029992178,3,1,1,0.262,0.115,0.0,0.0,0.0,0.0,0.0,0.623,0.0,0.0,0.0,0.0,1.6038000000000001,0.3968,0.7097134668402868
51,Mn0.274-Nb0.388-Ti0.288-V0.049,30.25125125125125,1.5704604604604606,67.44997924924925,8.32165848854662,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3883883883883884,0.049049049049049,0.2882882882882883,0.0,0.0,0.2742742742742743,1.3553553553553555,0.27637637637637635,0.7375708238749187
52,Ti0.601-Cu0.399,24.793,1.68364,54.122921,2.0,2,1,0,0.0,0.399,0.0,0.0,0.0,0.0,0.0,0.0,0.601,0.0,0.0,0.0,1.8581,0.6093500000000001,0.9214705882352942
53,Cr0.143-Ti0.402-Ta0.394-Mn0.061,42.562999999999995,1.54201,101.322661765,7.628073151196179,4,0,0,0.0,0.0,0.0,0.143,0.0,0.394,0.0,0.0,0.402,0.0,0.0,0.061,1.4289999999999998,0.27764999999999995,0.6884820830705027
54,Ta0.334-V0.251-Mn0.326-Cu0.089,40.886,1.5845300000000002,96.78830509,8.200609733428363,4,1,0,0.0,0.089,0.0,0.0,0.0,0.334,0.0,0.251,0.0,0.0,0.0,0.326,1.7564,0.2875,0.6523530705963564
55,W0.15-V0.716-Si0.134,29.444,1.77568,67.81357100000001,9.843215373488936,3,0,1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.716,0.0,0.0,0.134,0.0,1.4295999999999998,0.2734,0.63180961850057
56,Mn0.83-Fe0.17,25.17,1.5976,55.09222735,0.5,2,0,0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.834,0.27549999999999997,0.7810945273631841
57,W0.279-Al0.122-Mo0.599,47.39,2.1487000000000003,112.0511677092,9.10433352249844,3,0,1,0.279,0.0,0.0,0.0,0.599,0.0,0.0,0.0,0.0,0.122,0.0,0.0,1.0,0.5217999999999999,0.660743690672326
58,Cu0.223-Mo0.777,39.101,2.1020200000000004,88.716138,3.5,2,1,0,0.0,0.223,0.0,0.0,0.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4460000000000002,0.6115,0.7409661835748792
59,Ta0.109-Mn0.567-Fe0.324,30.555999999999997,1.6352699999999998,68.966970435,9.201449161228174,3,0,0,0.0,0.0,0.324,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,0.567,1.8321,0.29315,0.7793852614019905
60,Al0.398-Mn0.049-Ti0.553,18.565,1.56835,39.9010675678,7.3484692283495345,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553,0.398,0.0,0.049,1.0945,0.3849,0.9034129754911184
61,Fe0.635-Ta0.365,43.155,1.70955,101.5075512,10.0,2,0,0,0.0,0.0,0.635,0.0,0.0,0.365,0.0,0.0,0.0,0.0,0.0,0.0,1.8175,0.327,0.8918181818181817
62,Nb0.111-Fe0.065-Mn0.509-Mo0.314,32.18618618618619,1.765505505505506,72.10326134634636,8.381527307120106,4,0,0,0.0,0.0,0.065065065065065,0.0,0.3143143143143143,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.5095095095095096,1.494894894894895,0.33833833833833826,0.6861350472912094
63,Mn0.417-W0.437-Cu0.049-Mo0.097,48.258,1.98029,115.667178765,4.380353866983808,4,1,1,0.437,0.049,0.0,0.0,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.417,1.4316,0.46395,0.6428412772532683
64,Al0.256-V0.694-Ta0.049,22.88988988988989,1.6184984984984985,51.1782993009009,11.897712198383164,3,0,0,0.0,0.0,0.0,0.0,0.0,0.049049049049049,0.0,0.6946946946946947,0.0,0.2562562562562562,0.0,0.0,1.4413413413413412,0.264064064064064,0.7438331990708553
65,Nb0.089-Cu0.911,30.068,1.8733,66.15907382,7.0,2,1,0,0.0,0.911,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,2.8398,0.93325,0.9179439252336449
66,Cr0.139-Mo0.12-Cu0.062-Ti0.679,25.112,1.6534,55.1818029,4.14578098794425,4,1,0,0.0,0.062,0.0,0.139,0.12,0.0,0.0,0.0,0.679,0.0,0.0,0.0,1.3309000000000002,0.40135,0.8203884899561165
67,Fe0.473-V0.079-Si0.159-Mn0.29,23.56743256743257,1.7442157842157844,50.78590514485515,6.53356717268599,4,0,0,0.0,0.0,0.4725274725274725,0.0,0.0,0.0,0.0,0.0789210789210789,0.0,0.0,0.1588411588411588,0.2897102897102897,1.7516483516483512,0.3248751248751249,0.8527280016532411
68,Ta0.594-V0.048-Nb0.119-Mo0.239,59.383,1.67588,143.91375194,8.573214099741124,4,0,0,0.0,0.0,0.0,0.0,0.239,0.594,0.119,0.048,0.0,0.0,0.0,0.0,1.3496,0.27765,0.6031874486080647
69,Ti0.838-V0.114-Cu0.048,22.45,1.56754,48.97008499999999,4.546060565661952,3,1,0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.114,0.838,0.0,0.0,0.0,1.2482000000000002,0.3641,0.8490994258386854
70,Al0.568-Fe0.38-W0.051,21.05905905905906,1.731971971971972,45.96842234714714,6.944222218666553,3,0,1,0.051051051051051,0.0,0.3803803803803804,0.0,0.0,0.0,0.0,0.0,0.0,0.5685685685685685,0.0,0.0,1.3803803803803802,0.4386386386386386,1.0402736019135117
71,Al0.476-W0.524,44.964000000000006,2.003,109.1753723736,8.5,2,0,1,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476,0.0,0.0,1.0,0.5286,0.7723502304147466
72,Mo0.539-Ti0.461,32.78,1.87418,73.778347,1.5,2,0,0,0.0,0.0,0.0,0.0,0.539,0.0,0.0,0.0,0.461,0.0,0.0,0.0,1.0461,0.43085,0.7804926108374385
73,Cr0.371-W0.05-Si0.13-Nb0.449,32.833,1.69926,73.84863272000001,12.708265027138834,4,0,1,0.05,0.0,0.0,0.371,0.0,0.0,0.449,0.0,0.0,0.0,0.13,0.0,1.4607999999999999,0.29255,0.6334051897863047
74,Nb0.108-Mo0.095-W0.122-Si0.675,26.896,1.94842,60.53438154,13.160072188251856,4,0,1,0.122,0.0,0.0,0.0,0.095,0.0,0.108,0.0,0.0,0.0,0.675,0.0,1.0216,0.3502,0.49805553239874323
75,Ta0.346-Mo0.654,52.726,1.93164,125.35272648,3.5,2,0,0,0.0,0.0,0.0,0.0,0.654,0.346,0.0,0.0,0.0,0.0,0.0,0.0,1.173,0.3962,0.6428985507246378
76,Ta0.312-W0.688,73.688,2.09168,182.93765856,5.5,2,0,1,0.688,0.0,0.0,0.0,0.0,0.312,0.0,0.0,0.0,0.0,0.0,0.0,1.156,0.47519999999999996,0.5687203791469194
77,Nb0.049-Si0.951,15.323,1.8853,31.26172312,17.5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.951,0.0,1.0098,0.29755,0.43804255319148927
78,Fe0.105-Al0.601-V0.294,17.305,1.63898,37.0564306986,3.559026084010437,3,0,0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.294,0.0,0.601,0.0,0.0,1.2814,0.37125,0.9729716839772153
79,Al0.05-V0.12-Ti0.075-Cu0.755,26.955,1.8261,59.02931193,6.869315832017043,4,1,0,0.0,0.755,0.0,0.0,0.0,0.0,0.0,0.12,0.075,0.05,0.0,0.0,2.5895,0.82775,0.9053113070554029
80,Al0.796-Nb0.204,18.712,1.6079600000000005,40.4302062456,14.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.796,0.0,0.0,1.0408,0.4092,0.9112280701754386
81,Cr0.797-Ta0.203,33.947,1.62752,78.17331134,9.0,2,0,0,0.0,0.0,0.0,0.797,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.0,1.8985,0.2797,0.6235779816513761
82,Mn0.287-Ti0.18-Fe0.43-Cr0.103,24.787,1.67993,53.75222721499999,3.960744879438715,4,0,0,0.0,0.0,0.43,0.103,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.287,1.7806,0.33765,0.9147683590598129
83,Mn0.459-Ta0.05-Cr0.442-Si0.049,26.419,1.61327,58.622422355000005,12.389511693363866,4,0,0,0.0,0.0,0.0,0.442,0.0,0.05,0.0,0.0,0.0,0.0,0.049,0.459,1.8342,0.27205,0.6096654302311185
84,Ti0.277-Nb0.723,35.737,1.58338,80.43047173999999,5.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.723,0.0,0.277,0.0,0.0,0.0,1.1723,0.2777,0.7882857142857144
85,Nb0.919-Cr0.081,39.623000000000005,1.6048600000000002,89.59264732,9.0,2,0,0,0.0,0.0,0.0,0.081,0.0,0.0,0.919,0.0,0.0,0.0,0.0,0.0,1.2648,0.25405,0.7265137614678899
86,Si0.273-W0.221-Al0.321-V0.185,28.603999999999996,1.85862,66.3812328906,8.870597499605086,4,0,1,0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.0,0.321,0.273,0.0,1.1110000000000002,0.39595,0.6989490436136904
87,W0.093-Mn0.436-V0.471,28.615,1.66301,65.04355412000001,4.320493798938574,3,0,1,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.0,0.0,0.0,0.436,1.6314000000000002,0.259,0.6846689216949117
88,Ta0.343-Ti0.657,39.493,1.5262800000000003,93.51374184,5.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.343,0.0,0.0,0.657,0.0,0.0,0.0,1.2372,0.29855,0.7591428571428571
89,Ti0.145-W0.855,66.46,2.2411,164.123915,0.5,2,0,1,0.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.0,1.0145,0.56375,0.6402985074626866
90,Al0.867-W0.133,21.113,1.70975,47.8437139662,8.5,2,0,1,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867,0.0,0.0,1.0,0.46995,0.9525345622119816
91,Si0.894-Cr0.106,15.06,1.87456,30.620023599999996,8.5,2,0,0,0.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.894,0.0,1.106,0.3,0.48036866359447006
92,Nb0.122-Mo0.141-Ta0.632-Si0.105,58.53,1.64726,142.17015602,14.430869689661812,4,0,0,0.0,0.0,0.0,0.0,0.141,0.632,0.122,0.0,0.0,0.0,0.105,0.0,1.3404,0.2589,0.5488029599907308
93,Mo0.142-Cu0.551-Mn0.055-Al0.252,26.594,1.84459,58.4582662022,7.648529270389178,4,1,0,0.0,0.551,0.0,0.0,0.142,0.0,0.0,0.0,0.0,0.252,0.0,0.055,2.146,0.7491500000000001,0.8974576861829405
94,Ti0.093-Ta0.907,68.257,1.50372,168.57135816,5.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.907,0.0,0.0,0.093,0.0,0.0,0.0,1.4628,0.21395,0.598
95,Ti0.356-V0.048-Ta0.331-Cr0.265,39.459,1.56288,93.15855878,8.13557004763649,4,0,0,0.0,0.0,0.0,0.265,0.0,0.331,0.0,0.048,0.356,0.0,0.0,0.0,1.4949,0.2799,0.6847885479993223
96,V0.176-Cr0.824,23.824,1.65472,51.81049039999999,1.5,2,0,0,0.0,0.0,0.0,0.824,0.0,0.0,0.0,0.176,0.0,0.0,0.0,0.0,1.9296,0.2824,0.6983251231527094
97,W0.316-Cu0.505-Ti0.179,41.967,1.98092,98.752363,1.699673171197595,3,1,1,0.316,0.505,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.0,0.0,0.0,2.0279000000000003,0.75725,0.8413989674868918
98,Cr0.794-Mo0.206,27.708,1.763,61.0485434,5.5,2,0,0,0.0,0.0,0.0,0.794,0.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.794,0.3412,0.6635071090047393
99,Nb0.048-Cr0.079-Si0.309-Mn0.564,22.29,1.6692399999999998,48.23067501999999,12.389511693363866,4,0,0,0.0,0.0,0.0,0.079,0.0,0.0,0.048,0.0,0.0,0.0,0.309,0.564,1.5397999999999998,0.2694,0.5721174425548878
100,Si0.05-Cu0.271-Ti0.372-Nb0.307,29.33,1.6739800000000002,64.95402365999999,12.754901018824098,4,1,0,0.0,0.271,0.0,0.0,0.0,0.0,0.307,0.0,0.372,0.0,0.05,0.0,1.6406,0.49295,0.7772611142230417
